GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
frontend-seguridadcalidad,com.duoc.seguridadcalidad,PatientController,0,9,0,0,0,4,0,4,0,4
frontend-seguridadcalidad,com.duoc.seguridadcalidad,AuthRequest,0,17,0,0,0,7,0,5,0,5
frontend-seguridadcalidad,com.duoc.seguridadcalidad,Appointment,0,66,0,0,0,28,0,14,0,14
frontend-seguridadcalidad,com.duoc.seguridadcalidad,PatientRestController,0,87,0,8,0,21,0,8,0,4
frontend-seguridadcalidad,com.duoc.seguridadcalidad,PetRestController,0,186,0,12,0,35,0,14,0,8
frontend-seguridadcalidad,com.duoc.seguridadcalidad,BackendService,10,807,0,16,3,164,0,25,0,17
frontend-seguridadcalidad,com.duoc.seguridadcalidad,Patient,0,66,0,0,0,28,0,14,0,14
frontend-seguridadcalidad,com.duoc.seguridadcalidad,AppointmentRepository,0,37,0,2,0,8,0,4,0,3
frontend-seguridadcalidad,com.duoc.seguridadcalidad,InvoiceController,32,131,0,8,9,37,0,10,0,6
frontend-seguridadcalidad,com.duoc.seguridadcalidad,LoginController,0,5,0,0,0,2,0,2,0,2
frontend-seguridadcalidad,com.duoc.seguridadcalidad,JwtAuthenticationFilter,0,8,0,0,0,3,0,2,0,2
frontend-seguridadcalidad,com.duoc.seguridadcalidad,JwtUtil,0,3,0,0,0,1,0,1,0,1
frontend-seguridadcalidad,com.duoc.seguridadcalidad,InvoiceLineItemType,0,21,0,0,0,4,0,1,0,1
frontend-seguridadcalidad,com.duoc.seguridadcalidad,AuthController,0,96,0,2,0,25,0,6,0,5
frontend-seguridadcalidad,com.duoc.seguridadcalidad,AuthResponse,0,9,0,0,0,4,0,2,0,2
frontend-seguridadcalidad,com.duoc.seguridadcalidad,InvoiceLineItem,0,66,0,0,0,28,0,14,0,14
frontend-seguridadcalidad,com.duoc.seguridadcalidad,InvoicePageController,0,9,0,0,0,4,0,4,0,4
frontend-seguridadcalidad,com.duoc.seguridadcalidad,PetController,0,7,0,0,0,3,0,3,0,3
frontend-seguridadcalidad,com.duoc.seguridadcalidad,PatientRepository,0,37,0,2,0,8,0,4,0,3
frontend-seguridadcalidad,com.duoc.seguridadcalidad,WebSecurityConfig,0,151,0,0,0,29,0,11,0,11
frontend-seguridadcalidad,com.duoc.seguridadcalidad,SeguridadcalidadApplication,0,8,0,0,0,3,0,2,0,2
frontend-seguridadcalidad,com.duoc.seguridadcalidad,AppointmentRestController,0,87,0,8,0,21,0,8,0,4
frontend-seguridadcalidad,com.duoc.seguridadcalidad,AppointmentController,0,9,0,0,0,4,0,4,0,4
frontend-seguridadcalidad,com.duoc.seguridadcalidad,InvoiceCreateRequest,0,36,0,0,0,14,0,9,0,9
frontend-seguridadcalidad,com.duoc.seguridadcalidad,Invoice,0,106,0,0,0,41,0,20,0,20
frontend-seguridadcalidad,com.duoc.seguridadcalidad,JwtCookieService,0,101,2,12,0,29,2,9,0,4
frontend-seguridadcalidad,com.duoc.seguridadcalidad,HomeController,0,17,0,0,0,5,0,3,0,3
